customer_id,customer_city,occupation,income_bucket,joining_date,customer_tenure_months,primary_card_type,preferred_rewards_category,avg_monthly_spend,spend_segment
CUST0000001,Coimbatore,Business Owner,3L-7L,2019-03-08,89.0,Corporate,Shopping,14464.080000000002,Medium
CUST0000002,Delhi,Business Owner,30L+,2023-09-16,35.0,Commercial,Dining,54527.17,High
CUST0000003,Visakhapatnam,Self-employed,3L-7L,2020-09-22,70.0,Consumer,Fuel,14906.425000000001,Medium
CUST0000004,Bhopal,Salaried,7L-15L,2024-03-02,29.0,Consumer,Fuel,9694.645999999999,Medium
CUST0000005,Visakhapatnam,Salaried,3L-7L,2019-06-22,85.0,Consumer,Shopping,11391.806,Medium
CUST0000006,Nagpur,Business Owner,3L-7L,2020-09-18,71.0,Consumer,Shopping,18977.01833333333,Medium
CUST0000007,Nagpur,Self-employed,7L-15L,2019-05-11,87.0,Consumer,General/cashback,12979.238333333333,Medium
CUST0000008,Ahmedabad,Self-employed,7L-15L,2022-08-18,48.0,Consumer,General/cashback,11033.288,Medium
CUST0000009,Kochi,Self-employed,15L-30L,2019-02-20,90.0,Corporate,Fuel,15908.421428571428,Medium
CUST0000010,Patna,Salaried,3L-7L,2019-02-18,90.0,Corporate,Dining,14516.363999999998,Medium
CUST0000011,Delhi,Salaried,7L-15L,2021-08-05,60.0,Consumer,Health,8868.181999999999,Medium
CUST0000012,Chennai,Business Owner,15L-30L,2020-11-29,68.0,Consumer,General/cashback,37692.22142857143,High
CUST0000013,Delhi,Self-employed,7L-15L,2022-03-11,53.0,Corporate,Travel,9423.732,Medium
CUST0000014,Bhubaneswar,Business Owner,15L-30L,2019-10-18,82.0,Corporate,Travel,34926.59857142857,High
CUST0000015,Kolkata,Salaried,7L-15L,2020-08-16,72.0,Consumer,Dining,3443.0860000000002,Low
CUST0000016,Nagpur,Student,3L-7L,2023-07-24,36.0,Consumer,Dining,18211.971666666665,Medium
CUST0000017,Coimbatore,Salaried,15L-30L,2021-12-29,55.0,Consumer,Dining,43842.95,High
CUST0000018,Madurai,Business Owner,<3L,2021-12-28,55.0,Corporate,Travel,5817.4839999999995,Medium
CUST0000019,Bengaluru,Self-employed,3L-7L,2021-11-04,57.0,Consumer,Dining,2923.7471428571434,Low
CUST0000020,Bhopal,Self-employed,<3L,2020-09-22,70.0,Consumer,Fuel,7285.016666666666,Medium
CUST0000021,Agra,Freelancer,3L-7L,2022-10-06,46.0,Corporate,Fuel,5383.218,Medium
CUST0000022,Mumbai,Salaried,15L-30L,2023-04-23,39.0,Corporate,General/cashback,34302.23166666667,High
CUST0000023,Jaipur,Salaried,<3L,2021-09-18,59.0,Consumer,General/cashback,1080.0533333333335,Low
CUST0000024,Pune,Salaried,3L-7L,2022-02-27,53.0,Corporate,Shopping,10202.414999999999,Medium
CUST0000025,Kochi,Student,3L-7L,2019-01-19,91.0,Consumer,General/cashback,4288.876666666667,Low
CUST0000026,Ahmedabad,Retired,3L-7L,2019-12-16,80.0,Consumer,General/cashback,15301.3,Medium
CUST0000027,Hyderabad,Freelancer,3L-7L,2022-12-19,44.0,Corporate,Dining,7256.8780000000015,Medium
CUST0000028,Delhi,Self-employed,3L-7L,2020-05-20,75.0,Commercial,Fuel,13614.223999999998,Medium
CUST0000029,Delhi,Salaried,15L-30L,2020-11-02,69.0,Consumer,Dining,22356.06142857143,High
CUST0000030,Delhi,Government Employee,15L-30L,2019-01-31,90.0,Commercial,Travel,46631.13666666666,High
CUST0000031,Surat,Salaried,3L-7L,2020-01-04,79.0,Consumer,Fuel,16297.103333333333,Medium
CUST0000032,Chennai,Salaried,7L-15L,2021-02-12,66.0,Consumer,Dining,14779.101666666664,Medium
CUST0000033,Hyderabad,Government Employee,3L-7L,2022-12-09,44.0,Consumer,Health,6749.338333333333,Medium
CUST0000034,Nagpur,Salaried,3L-7L,2023-03-13,41.0,Consumer,Dining,10883.941428571428,Medium
